S,I,R
0.05337959629870695,0.0041516401319869395,0.9424687635693061
0.05331311243644006,0.0038029599810551376,0.9428839275825048
0.05325228814652168,0.0034834882728680063,0.9432642235806104
0.05319663703014314,0.0031907905619597446,0.9436125724078972
0.05314571523193401,0.0029226333039729037,0.9439316514640932
0.053099117600743914,0.0026769676047657064,0.9442239147944905
0.053056474215446264,0.0024519142295867866,0.9444916115549671
0.053017447238216095,0.002245749783858275,0.9447368029779257
0.05298172806201331,0.00205689398167523,0.9449613779563115
0.05294903472273646,0.0018838979227845595,0.9451670673544791
0.05291910954977817,0.0017254333034643868,0.9453554571467575
0.052891717031576115,0.0015802824913200085,0.945528000477104
0.05286664187526786,0.0014473293984962631,0.945686028726236
0.0528436872417721,0.0013255510921423915,0.9458307616660856
0.05282267313957125,0.0012140100851290008,0.9459633167752999
0.05280343496219678,0.0011118472539905745,0.9460847177838128
0.05278582215594758,0.0010182753348407134,0.9461959025092118
0.05276969700572837,0.000932572951575849,0.9462977300426959
0.052754933528101254,0.0008540791340453828,0.9463909873378535
0.05274141646171796,0.0007821882870241352,0.946476395251258
0.052729040346258735,0.000716345573780947,0.9465546140799604
0.05271770868186021,0.0006560426808013801,0.9466262486373386
0.0527073331617814,0.0006008139328000482,0.9466918529054187
0.0526978329717441,0.000550232729557343,0.9467519342986986
0.05268913415000076,0.0005039082783449486,0.9468069575716543
0.05268116900273766,0.00046148259777355763,0.9468573483994889
0.05267387556992012,0.00042262777081374125,0.9469034966592662
0.05266719713713645,0.0003870434265160378,0.9469457594363476
0.05266108178940296,0.0003544544315979199,0.9469844637789993
0.05265548200325906,0.0003246087745820262,0.9470199092221591
0.05265035427381263,0.0002972756265702548,0.9470523700996173
0.05264565877369586,0.0002722435640299974,0.9470820976622744
0.05264135904116329,0.0002493189401595751,0.9471093220186774
0.05263742169480987,0.00022832439249702833,0.9471342539126933
0.05263381617261055,0.0002090974754466487,0.9471570863519431
0.05263051449318511,0.0001914894073274286,0.9471779960994877
0.052627491037376815,0.00017536392240297705,0.9471971450402205
0.05262472234840045,0.00016059621913904192,0.9472146814324608
0.05262218694896773,0.0001470719966578562,0.9472307410543747
0.052619865173936804,0.00013468657202299689,0.9472454482540404
0.052617739017158625,0.00012334407159887413,0.9472589169112428
0.05261579199130802,0.0001129566902895977,0.9472712513184026
0.05261400899959193,0.00010344401297672916,0.9472825469874315
0.052612376218323015,9.47323929479697e-05,0.9472928913887292
0.052610880989433666,8.67543825425249e-05,0.947302364628024
0.05260951172208509,7.944821163684938e-05,0.9473110400662782
0.05260825780259867,7.275730995958669e-05,0.9473189848874419
0.052607109512002856,6.662986955944127e-05,0.9473262606184378
0.05260605795054945,6.1018444056902344e-05,0.9473329236053938
0.05260509496860822,5.587958159244504e-05,0.9473390254497994
0.05260421310339928,5.117348864214353e-05,0.9473446134079586
0.05260340552106875,4.686372210846189e-05,0.9473497307568228
0.05260266596365526,4.291690731110513e-05,0.9473544171290337
0.05260198870053342,3.930247970183838e-05,0.9473587088197648
0.05260136848395546,3.599244830960826e-05,0.947362639067735
0.05260080050834461,3.296117908949946e-05,0.947366238312566
0.05260028037302287,3.018519650229149e-05,0.9473695344304749
0.05259980404808313,2.7643001791802935e-05,0.9473725529501251
0.052599367843139865,2.5314906555887534e-05,0.9473753172503043
